labeled-data\nop12\img0959.png,380.4724647875242,414.6671842028513,382.11943076738316,403.96190533376796,382.9429137573126,392.43314347475507,382.9429137573126,378.43393264595375,383.76639674724214,366.08168779701145,,,,,377.1785328278062,404.7853883236974,373.8846008680882,392.43314347475507,370.5906689083703,380.0808986258127,,,,,,
labeled-data\nop12\img0980.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\nop12\img1024.png,269.3022611470431,395.727075434473,272.59619310676106,382.5513475956012,275.890125066479,371.84606872651784,280.83102300605594,358.67034088764603,284.9484379557034,345.49461304877417,,,,,264.3613632074662,381.7278646056717,263.53788021753667,371.0225857365883,261.8909142376777,359.4938238775755,261.06743124774823,344.6711300588447,259.42046526788926,334.78933417969085,258.59698227795974,322.43708933074845
labeled-data\nop12\img1084.png,367.2967369486523,380.9043816157422,367.2967369486523,369.3756197567294,368.12021993858184,360.31730686750495,368.12021993858184,350.4355109883511,368.9437029285113,338.0832661394088,,,,,364.0028049889344,370.19910274665887,363.1793219990049,361.14078985743447,360.7088730292164,351.2589939782806,357.41494106949847,339.7302321192677,,,,
labeled-data\nop12\img1202.png,419.9996483041396,354.55292593799857,425.7640292336461,341.37719809912676,430.704927173223,324.0840553106075,435.64582511279997,303.49698056237025,433.99885913294094,287.02732076378044,435.64582511279997,262.32283106589574,437.2927910926589,240.91227332772905,411.7648184048448,343.0241640789857,407.6474034551973,324.0840553106075,404.35347149547937,307.61439551201767,,,,,,
labeled-data\nop12\img1490.png,386.2368457170306,259.0288991061778,387.88381169688955,240.08879033779954,386.2368457170306,223.61913053920978,381.29594777745365,206.3259877506905,379.6489817975947,189.03284496217123,,,,,377.1785328278062,244.206205287447,374.70808385801774,226.91306249892773,373.06111787815877,208.79643672047894,365.64977096879335,188.2093619722417,,,,
labeled-data\nop12\img1645.png,397.76560757604346,281.262939834274,397.76560757604346,263.9697970457547,394.47167561632546,246.67665425723544,390.35426066667804,230.20699445864568,388.70729468681907,209.61991971040845,,,,,391.1777436566075,267.2637290054727,387.0603287069601,247.50013724716496,383.76639674724214,231.03047744857514,379.6489817975947,210.4434027003379,,,,
labeled-data\nop12\img1719.png,,,,,382.9429137573126,235.1478923982226,382.11943076738316,226.0895795089982,378.8254988076652,212.9138516701264,,,,,,,379.6489817975947,235.97137538815213,377.1785328278062,225.26609651906875,376.3550498378767,213.73733466005586,,,,
labeled-data\nop12\img1747.png,386.2368457170306,290.3212527234984,385.4133627271011,273.85159292490863,382.11943076738316,255.73496714645984,381.29594777745365,249.14710322702393,,,,,,,378.8254988076652,273.85159292490863,377.1785328278062,259.0288991061778,374.70808385801774,248.32362023709442,,,,,,
labeled-data\nop12\img1792.png,397.76560757604346,315.84922541131255,395.295158606255,301.8500145825112,392.8247096364665,286.203837773851,,,,,,,,,393.648192626396,302.67349757244074,389.5307776767485,286.203837773851,,,,,,,,
labeled-data\nop12\img2224.png,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\nop12\img2237.png,407.6474034551973,416.31415018271025,410.9413354149153,403.96190533376796,415.88223335449226,391.60966048482555,419.1761653142102,375.1400006862358,424.9405462437166,354.55292593799857,429.05796119336406,338.90674912933827,433.99885913294094,320.79012335088953,399.4125735559024,410.54976925320386,388.70729468681907,399.8444903841205,378.0020158177357,386.6687625452487,367.2967369486523,375.1400006862358,355.7679750896395,361.964272847364,348.3566281802741,344.6711300588447
labeled-data\nop12\img2359.png,410.9413354149153,276.32204189469707,410.9413354149153,261.4993480759663,410.9413354149153,245.85317126730598,408.47088644512684,226.91306249892773,407.6474034551973,212.0903686801969,403.52998850554985,192.32677692188918,401.0595395357614,172.5631851635814,406.8239204652678,262.32283106589574,403.52998850554985,244.206205287447,400.2360565458319,226.91306249892773,397.76560757604346,212.0903686801969,396.94212458611395,194.7972258916776,392.001226646537,175.0336341333699
